time,open,high,low,close,volume,trade_decision
2024-01-15 15:00:00,2052.194,2053.926,2049.293,2053.358,4336,Buy
2024-01-16 06:00:00,2048.635,2050.62,2047.455,2050.569,3675,Buy
2024-01-16 21:00:00,2028.393,2028.655,2027.215,2028.562,2088,Buy
2024-01-16 23:00:00,2028.137,2028.272,2025.799,2028.041,2259,Buy
2024-01-17 00:00:00,2028.2,2028.943,2025.732,2028.535,3431,Buy
2024-01-17 09:00:00,2021.498,2024.363,2019.077,2023.9,4722,Buy
2024-01-17 21:00:00,2006.259,2006.468,2005.361,2006.23,2085,Buy
2024-01-17 23:00:00,2005.681,2009.812,2005.653,2009.458,2332,Buy
2024-01-18 00:00:00,2009.476,2011.017,2008.323,2010.939,3459,Buy
2024-01-18 01:00:00,2010.884,2012.169,2009.415,2011.634,4270,Buy
2024-01-18 05:00:00,2008.155,2009.485,2005.817,2009.262,3562,Buy
2024-01-18 17:00:00,2014.866,2016.466,2013.281,2016.347,4381,Buy
2024-01-18 23:00:00,2023.859,2024.447,2021.199,2023.638,2620,Buy
2024-01-19 08:00:00,2028.008,2030.194,2026.272,2029.779,4172,Buy
2024-01-19 11:00:00,2030.461,2032.098,2028.871,2031.718,3522,Buy
2024-01-19 17:00:00,2024.867,2029.181,2024.45,2029.181,4738,Buy
2024-01-22 00:00:00,2027.59,2029.346,2025.478,2029.085,3396,Buy
2024-01-22 14:00:00,2023.235,2024.076,2016.539,2022.765,7575,Buy
2024-01-22 16:00:00,2024.241,2024.294,2021.511,2023.715,4480,Buy
2024-01-22 19:00:00,2021.384,2021.664,2019.128,2021.06,3332,Buy
2024-01-22 20:00:00,2021.072,2021.134,2019.209,2020.866,3206,Buy
2024-01-22 21:00:00,2020.847,2021.66,2020.281,2021.66,1811,Buy
2024-01-23 04:00:00,2027.489,2028.004,2026.752,2027.696,2902,Buy
2024-01-23 18:00:00,2024.332,2025.838,2023.062,2025.273,3718,Buy
2024-01-23 21:00:00,2028.747,2029.364,2027.878,2029.01,1896,Buy
2024-01-23 23:00:00,2028.846,2029.603,2027.305,2029.352,1914,Buy
2024-01-24 09:00:00,2030.95,2034.247,2029.984,2030.975,4443,Buy
2024-01-24 10:00:00,2030.923,2033.103,2029.436,2032.777,3803,Buy
2024-01-24 11:00:00,2032.826,2034.331,2030.901,2033.563,3863,Buy
2024-01-24 20:00:00,2012.189,2013.857,2011.881,2012.358,3521,Buy
2024-01-24 21:00:00,2012.398,2014.653,2012.148,2014.517,2293,Buy
2024-01-25 21:00:00,2020.077,2020.821,2018.996,2020.81,1845,Buy
2024-01-29 00:00:00,2021.932,2022.156,2019.377,2021.608,3852,Buy
2024-01-29 02:00:00,2023.278,2025.561,2021.568,2025.497,3238,Buy
2024-01-29 11:00:00,2027.544,2028.401,2025.527,2028.211,3490,Buy
2024-01-29 15:00:00,2024.752,2026.356,2020.561,2025.487,5988,Buy
2024-01-29 21:00:00,2032.727,2032.727,2031.02,2032.437,2381,Buy
2024-01-30 13:00:00,2036.006,2038.041,2033.276,2037.867,6238,Buy
2024-01-31 03:00:00,2033.759,2034.312,2033.098,2034.008,2266,Buy
2024-01-31 04:00:00,2034.005,2034.88,2033.297,2034.599,1991,Buy
2024-01-31 05:00:00,2034.645,2035.185,2033.305,2035.033,2621,Buy
2024-02-01 12:00:00,2033.48,2034.557,2030.134,2034.285,5128,Buy
2024-02-01 15:00:00,2046.2,2053.109,2040.344,2052.011,11273,Buy
2024-02-01 20:00:00,2054.83,2055.777,2053.514,2055.643,3753,Buy
2024-02-02 11:00:00,2054.687,2056.237,2053.747,2056.138,3362,Buy
2024-02-02 15:00:00,2035.361,2035.703,2028.541,2035.093,9470,Buy
2024-02-02 21:00:00,2036.103,2039.886,2036.103,2039.707,2195,Buy
2024-02-05 01:00:00,2035.649,2038.311,2034.599,2038.054,4150,Buy
2024-02-05 06:00:00,2029.822,2031.308,2026.859,2030.977,3766,Buy
2024-02-05 16:00:00,2017.843,2022.53,2017.836,2022.228,4876,Buy
2024-02-05 23:00:00,2024.859,2025.37,2023.653,2025.074,1639,Buy
2024-02-06 04:00:00,2023.996,2026.528,2023.628,2026.343,2872,Buy
2024-02-06 12:00:00,2026.748,2028.013,2024.58,2027.836,3970,Buy
2024-02-06 17:00:00,2036.683,2038.437,2032.166,2037.12,5191,Buy
2024-02-07 12:00:00,2034.214,2034.309,2030.622,2033.47,3769,Buy
2024-02-07 19:00:00,2034.909,2035.857,2034.23,2035.611,3087,Buy
2024-02-07 21:00:00,2034.835,2035.044,2033.779,2035.043,1758,Buy
2024-02-07 23:00:00,2035.039,2036.582,2034.877,2036.442,1673,Buy
2024-02-08 05:00:00,2032.279,2033.783,2031.194,2033.487,2987,Buy
2024-02-08 16:00:00,2032.07,2032.392,2027.794,2031.969,4816,Buy
2024-02-12 03:00:00,2022.482,2023.134,2021.916,2022.954,2219,Buy
2024-02-12 10:00:00,2020.854,2021.292,2020.018,2021.009,3214,Buy
2024-02-12 18:00:00,2019.45,2021.639,2017.877,2021.568,4004,Buy
2024-02-13 00:00:00,2018.814,2019.639,2018.346,2019.52,2358,Buy
2024-02-13 06:00:00,2020.806,2024.137,2020.735,2023.74,2501,Buy
2024-02-13 08:00:00,2025.303,2026.356,2024.515,2026.128,3593,Buy
2024-02-13 09:00:00,2026.084,2026.996,2025.184,2026.713,3336,Buy
2024-02-14 01:00:00,1992.729,1992.967,1988.9,1992.874,3540,Buy
2024-02-14 15:00:00,1987.58,1989.059,1984.221,1987.945,7457,Buy
2024-02-14 17:00:00,1993.14,1995.35,1990.803,1994.416,5098,Buy
2024-02-14 19:00:00,1991.748,1992.114,1989.786,1991.757,3353,Buy
2024-02-16 01:00:00,2002.727,2005.698,2002.468,2005.577,2825,Buy
2024-02-19 13:00:00,2016.794,2019.405,2016.571,2016.938,4073,Buy
2024-02-19 14:00:00,2016.954,2017.774,2015.968,2017.375,3505,Buy
2024-02-19 16:00:00,2014.974,2016.709,2013.299,2016.313,3033,Buy
2024-02-20 17:00:00,2027.0,2028.823,2025.677,2028.723,3719,Buy
2024-02-21 17:00:00,2024.023,2024.579,2021.535,2024.215,3987,Buy
2024-02-22 18:00:00,2023.047,2023.319,2019.647,2022.705,4062,Buy
2024-02-22 21:00:00,2024.663,2025.087,2024.062,2024.805,1746,Buy
2024-02-23 07:00:00,2020.977,2022.527,2019.61,2021.901,3466,Buy
2024-02-23 10:00:00,2016.829,2023.374,2016.616,2022.916,3914,Buy
2024-02-23 11:00:00,2022.885,2024.034,2022.107,2023.89,3814,Buy
2024-02-23 16:00:00,2030.188,2038.632,2030.188,2038.392,6368,Buy
